momentum_short_window,momentum_long_window,trend_window,momentum_threshold,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
10,40,40,0.01,-inf,full_pre_cutoff final_nav=1.2189 < floor=1.3361 (=1.00*default 1.3361),4.76,-0.1121,0.5336,4.76,-0.1121,0.5336,4.76,-0.1121,0.5336
10,40,40,0.0,-inf,full_pre_cutoff final_nav=1.2843 < floor=1.3361 (=1.00*default 1.3361),8.33,-0.086,0.7167,8.33,-0.086,0.7167,8.33,-0.086,0.7167
10,40,30,0.02,-inf,full_pre_cutoff final_nav=1.1448 < floor=1.3361 (=1.00*default 1.3361),2.58,-0.13140000000000002,0.3393,2.58,-0.13140000000000002,0.3393,2.58,-0.13140000000000002,0.3393
10,40,30,0.01,-inf,full_pre_cutoff final_nav=1.1753 < floor=1.3361 (=1.00*default 1.3361),3.25,-0.1285,0.4175,3.25,-0.1285,0.4175,3.25,-0.1285,0.4175
10,40,30,0.0,-inf,full_pre_cutoff final_nav=1.2384 < floor=1.3361 (=1.00*default 1.3361),5.71,-0.10289999999999999,0.5870000000000001,5.71,-0.10289999999999999,0.5870000000000001,5.71,-0.10289999999999999,0.5870000000000001
10,30,60,0.02,-inf,full_pre_cutoff final_nav=1.1660 < floor=1.3361 (=1.00*default 1.3361),2.99,-0.1316,0.3934,2.99,-0.1316,0.3934,2.99,-0.1316,0.3934
10,30,60,0.01,-inf,full_pre_cutoff final_nav=1.2270 < floor=1.3361 (=1.00*default 1.3361),4.95,-0.11220000000000001,0.5555,4.95,-0.11220000000000001,0.5555,4.95,-0.11220000000000001,0.5555
10,30,60,0.0,-inf,full_pre_cutoff final_nav=1.3100 < floor=1.3361 (=1.00*default 1.3361),9.2,-0.086,0.7918000000000001,9.2,-0.086,0.7918000000000001,9.2,-0.086,0.7918000000000001
10,30,40,0.02,-inf,full_pre_cutoff final_nav=1.1526 < floor=1.3361 (=1.00*default 1.3361),2.73,-0.1315,0.3591,2.73,-0.1315,0.3591,2.73,-0.1315,0.3591
10,30,40,0.01,-inf,full_pre_cutoff final_nav=1.2091 < floor=1.3361 (=1.00*default 1.3361),4.41,-0.1149,0.5069,4.41,-0.1149,0.5069,4.41,-0.1149,0.5069
10,30,40,0.0,-inf,full_pre_cutoff final_nav=1.2740 < floor=1.3361 (=1.00*default 1.3361),7.72,-0.0889,0.687,7.72,-0.0889,0.687,7.72,-0.0889,0.687
10,30,30,0.02,-inf,full_pre_cutoff final_nav=1.1759 < floor=1.3361 (=1.00*default 1.3361),3.95,-0.1061,0.4191,3.95,-0.1061,0.4191,3.95,-0.1061,0.4191
10,40,60,0.02,-inf,full_pre_cutoff final_nav=1.1550 < floor=1.3361 (=1.00*default 1.3361),2.78,-0.1315,0.3651,2.78,-0.1315,0.3651,2.78,-0.1315,0.3651
10,60,30,0.01,-inf,full_pre_cutoff final_nav=1.2073 < floor=1.3361 (=1.00*default 1.3361),3.81,-0.1317,0.5022,3.81,-0.1317,0.5022,3.81,-0.1317,0.5022
10,30,30,0.01,-inf,full_pre_cutoff final_nav=1.1938 < floor=1.3361 (=1.00*default 1.3361),4.38,-0.1065,0.466,4.38,-0.1065,0.466,4.38,-0.1065,0.466
10,60,30,0.02,-inf,full_pre_cutoff final_nav=1.1940 < floor=1.3361 (=1.00*default 1.3361),3.55,-0.1316,0.46659999999999996,3.55,-0.1316,0.46659999999999996,3.55,-0.1316,0.46659999999999996
15,40,40,0.0,-inf,full_pre_cutoff final_nav=1.2986 < floor=1.3361 (=1.00*default 1.3361),6.26,-0.1211,0.7582,6.26,-0.1211,0.7582,6.26,-0.1211,0.7582
15,40,30,0.02,-inf,full_pre_cutoff final_nav=1.3299 < floor=1.3361 (=1.00*default 1.3361),8.55,-0.09949999999999999,0.851,8.55,-0.09949999999999999,0.851,8.55,-0.09949999999999999,0.851
